district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Dawson,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-158.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-158.htm,"WILLCOX, Andrew",Liberal National Party of Queensland,110384,92573,4001,96574,87.49,19287,"WILLCOX, Andrew",Liberal National Party of Queensland,40109,"WILLCOX, Andrew",Liberal National Party of Queensland,55930,"HAMILTON, Shane",Australian Labor Party,36643,19287,False,15821
Deakin,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-209.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-209.htm,"SUKKAR, Michael",Liberal,112455,100269,4419,104688,93.09,375,"SUKKAR, Michael",Liberal,41626,"SUKKAR, Michael",Liberal,50322,"GREGG, Matt",Australian Labor Party,49947,375,False,8696
Dickson,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-252.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-252.htm,"DUTTON, Peter",Liberal National Party of Queensland,112786,99029,3996,103025,91.35,3363,"DUTTON, Peter",Liberal National Party of Queensland,41657,"DUTTON, Peter",Liberal National Party of Queensland,51196,"FRANCE, Ali",Australian Labor Party,47833,3363,False,9539
Dobell,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-115.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-115.htm,"McBRIDE, Emma",Australian Labor Party,118400,101717,4930,106647,90.07,13265,"McBRIDE, Emma",Labor,43595,"McBRIDE, Emma",Labor,57491,"FENELEY, Michael",Liberal,44226,13265,False,13896
Dunkley,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-210.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-210.htm,"MURPHY, Peta",Australian Labor Party,111567,95722,4750,100472,90.06,12008,"MURPHY, Peta",Australian Labor Party,38506,"MURPHY, Peta",Australian Labor Party,53865,"COOMBES, Sharn",Liberal,41857,12008,False,15359
Durack,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-312.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-312.htm,"PRICE, Melissa",Liberal,118406,89523,6219,95742,80.86,7643,"PRICE, Melissa",Liberal,30736,"PRICE, Melissa",Liberal,48583,"RILEY, Jeremiah",Australian Labor Party,40940,7643,False,17847
Eden-Monaro,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-117.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-117.htm,"McBAIN, Kristy",Australian Labor Party,116338,101517,7083,108600,93.35,16649,"McBAIN, Kristy",Labor,43215,"McBAIN, Kristy",Labor,59083,"NOCKLES, Jerry",Liberal,42434,16649,False,15868
Fadden,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-159.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-159.htm,"ROBERT, Stuart",Liberal National Party of Queensland,127728,105771,4760,110531,86.54,22481,"ROBERT, Stuart",Liberal National Party of Queensland,47190,"ROBERT, Stuart",Liberal National Party of Queensland,64126,"DEL FABBRO, Letitia",Australian Labor Party,41645,22481,False,16936
Fairfax,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-160.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-160.htm,"O'BRIEN, Ted",Liberal National Party of Queensland,123296,103659,6066,109725,88.99,18557,"O'BRIEN, Ted",Liberal National Party of Queensland,46551,"O'BRIEN, Ted",Liberal National Party of Queensland,61108,"FERGUSON, Sue",Australian Labor Party,42551,18557,False,14557
Farrer,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-118.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-118.htm,"LEY, Sussan",Liberal,119235,100582,8256,108838,91.28,32896,"LEY, Sussan",Liberal,52566,"LEY, Sussan",Liberal,66739,"CAMERON, Darren Michael",Labor,33843,32896,False,14173
Fenner,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-102.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-102.htm,"LEIGH, Andrew",Australian Labor Party,102515,91281,2533,93814,91.51,28651,"LEIGH, Andrew",Australian Labor Party,44100,"LEIGH, Andrew",Australian Labor Party,59966,"KUSTER, Nathan",Liberal,31315,28651,False,15866
