district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note,district_seats
Braga,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,780163,541502,14865,556367,71.31,270752,0,first,,,PAN,PAN,7935,Portugal,PT-030000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,19
Braga,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,780163,541502,14865,556367,71.31,270752,0,first,,,ND,ND,2616,Portugal,PT-030000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,19
Braga,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,780163,541502,14865,556367,71.31,270752,0,first,,,R.I.R.,R.I.R.,2234,Portugal,PT-030000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,19
Braga,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,780163,541502,14865,556367,71.31,270752,0,first,,,PCTP/MRPP,PCTP/MRPP,1897,Portugal,PT-030000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,19
Braga,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,780163,541502,14865,556367,71.31,270752,0,first,,,VP,VP,771,Portugal,PT-030000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,19
Braga,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,780163,541502,14865,556367,71.31,270752,0,first,,,MPT.A,MPT.A,673,Portugal,PT-030000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,19
Braga,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,780163,541502,14865,556367,71.31,270752,0,first,,,JPP,JPP,590,Portugal,PT-030000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,19
Braga,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,780163,541502,14865,556367,71.31,270752,0,first,,,NC,NC,534,Portugal,PT-030000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,19
Braga,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,780163,541502,14865,556367,71.31,270752,0,first,,,E,E,515,Portugal,PT-030000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,19
Bragança,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,134213,70811,1862,72673,54.15,35406,0,first,,,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,29077,Portugal,PT-040000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,3
Bragança,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,134213,70811,1862,72673,54.15,35406,0,first,,,PS,PS,21538,Portugal,PT-040000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,3
Bragança,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,134213,70811,1862,72673,54.15,35406,0,first,,,CH,CH,13216,Portugal,PT-040000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,3
Bragança,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,134213,70811,1862,72673,54.15,35406,0,first,,,ADN,ADN,1587,Portugal,PT-040000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,3
Bragança,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,134213,70811,1862,72673,54.15,35406,0,first,,,B.E.,B.E.,1404,Portugal,PT-040000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,3
Bragança,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,134213,70811,1862,72673,54.15,35406,0,first,,,IL,IL,1245,Portugal,PT-040000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,3
Bragança,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,134213,70811,1862,72673,54.15,35406,0,first,,,PCP-PEV,PCP-PEV,773,Portugal,PT-040000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,3
Bragança,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,134213,70811,1862,72673,54.15,35406,0,first,,,L,L,727,Portugal,PT-040000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,3
Bragança,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,134213,70811,1862,72673,54.15,35406,0,first,,,PAN,PAN,598,Portugal,PT-040000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,3
Bragança,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,134213,70811,1862,72673,54.15,35406,0,first,,,ND,ND,316,Portugal,PT-040000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,3
Bragança,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,134213,70811,1862,72673,54.15,35406,0,first,,,R.I.R.,R.I.R.,169,Portugal,PT-040000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,3
Bragança,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,134213,70811,1862,72673,54.15,35406,0,first,,,E,E,109,Portugal,PT-040000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,3
Bragança,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,134213,70811,1862,72673,54.15,35406,0,first,,,MPT.A,MPT.A,52,Portugal,PT-040000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,3
