district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Maryborough,https://results.elections.qld.gov.au/state2020/maryborough,https://results.elections.qld.gov.au/state2020/maryborough/preference,"SAUNDERS, Bruce",Australian Labor Party (State of Queensland),38267,33325,1293,34618,90.46,16663,"SAUNDERS, Bruce",Australian Labor Party (State of Queensland),17751,"SAUNDERS, Bruce",Australian Labor Party (State of Queensland),20624,"CHAPMAN, Denis",Liberal National Party of Queensland,12701,7923,False,2873
McConnel,https://results.elections.qld.gov.au/state2020/mcconnel,https://results.elections.qld.gov.au/state2020/mcconnel/preference,"GRACE, Grace",Australian Labor Party (State of Queensland),39448,32911,885,33796,85.67,16456,"GRACE, Grace",Australian Labor Party (State of Queensland),11616,"GRACE, Grace",Australian Labor Party (State of Queensland),20096,"SINGH, Pinky",Liberal National Party of Queensland,12815,7281,False,8480
Mermaid Beach,https://results.elections.qld.gov.au/state2020/mermaidbeach,https://results.elections.qld.gov.au/state2020/mermaidbeach/preference,"STEVENS, Ray",Liberal National Party of Queensland,35823,28602,1870,30472,85.06,14302,"STEVENS, Ray",Liberal National Party of Queensland,12604,"STEVENS, Ray",Liberal National Party of Queensland,15558,"UNGERER, Carl",Australian Labor Party (State of Queensland),13044,2514,False,2954
Miller,https://results.elections.qld.gov.au/state2020/miller,https://results.elections.qld.gov.au/state2020/miller/preference,"BAILEY, Mark",Australian Labor Party (State of Queensland),35607,31927,620,32547,91.41,15964,"BAILEY, Mark",Australian Labor Party (State of Queensland),13407,"BAILEY, Mark",Australian Labor Party (State of Queensland),20376,"DARWEN, Paul",Liberal National Party of Queensland,11551,8825,False,6969
Mirani,https://results.elections.qld.gov.au/state2020/mirani,https://results.elections.qld.gov.au/state2020/mirani/preference,"ANDREW, Stephen",Pauline Hanson's One Nation Queensland Division,34141,29441,1146,30587,89.59,14721,"HAMILTON, Shane",Australian Labor Party (State of Queensland),9412,"ANDREW, Stephen",Pauline Hanson's One Nation Queensland Division,17363,"HAMILTON, Shane",Australian Labor Party (State of Queensland),12078,5285,True,8043
Moggill,https://results.elections.qld.gov.au/state2020/moggill,https://results.elections.qld.gov.au/state2020/moggill/preference,"ROWAN, Christian",Liberal National Party of Queensland,34935,31753,546,32299,92.45,15877,"ROWAN, Christian",Liberal National Party of Queensland,14888,"ROWAN, Christian",Liberal National Party of Queensland,17016,"ALBRECHT, Roberta",Australian Labor Party (State of Queensland),14737,2279,False,2128
Morayfield,https://results.elections.qld.gov.au/state2020/morayfield,https://results.elections.qld.gov.au/state2020/morayfield/preference,"RYAN, Mark",Australian Labor Party (State of Queensland),36991,30135,1429,31564,85.33,15068,"RYAN, Mark",Australian Labor Party (State of Queensland),16386,"RYAN, Mark",Australian Labor Party (State of Queensland),20109,"CRAIG, Theresa",Liberal National Party of Queensland,10026,10083,False,3723
Mount Ommaney,https://results.elections.qld.gov.au/state2020/mountommaney,https://results.elections.qld.gov.au/state2020/mountommaney/preference,"PUGH, Jess",Australian Labor Party (State of Queensland),35577,31963,905,32868,92.39,15982,"PUGH, Jess",Australian Labor Party (State of Queensland),16148,"PUGH, Jess",Australian Labor Party (State of Queensland),20012,"HOOPER, Roger",Liberal National Party of Queensland,11951,8061,False,3864
Mudgeeraba,https://results.elections.qld.gov.au/state2020/mudgeeraba,https://results.elections.qld.gov.au/state2020/mudgeeraba/preference,"BATES, Ros",Liberal National Party of Queensland,38319,31946,1667,33613,87.72,15974,"BATES, Ros",Liberal National Party of Queensland,15640,"BATES, Ros",Liberal National Party of Queensland,19196,"OTTEN-KAMP, Maxim",Australian Labor Party (State of Queensland),12750,6446,False,3556
Mulgrave,https://results.elections.qld.gov.au/state2020/mulgrave,https://results.elections.qld.gov.au/state2020/mulgrave/preference,"PITT, Curtis",Australian Labor Party (State of Queensland),35635,28587,1256,29843,83.75,14294,"PITT, Curtis",Australian Labor Party (State of Queensland),14254,"PITT, Curtis",Australian Labor Party (State of Queensland),17793,"VALLIANOS, Gerry",Liberal National Party of Queensland,10794,6999,False,3539
Mundingburra,https://results.elections.qld.gov.au/state2020/mundingburra,https://results.elections.qld.gov.au/state2020/mundingburra/preference,"WALKER, Les",Australian Labor Party (State of Queensland),33405,28360,945,29305,87.73,14181,"WALKER, Les",Australian Labor Party (State of Queensland),10839,"WALKER, Les",Australian Labor Party (State of Queensland),15295,"DOYLE, Glenn",Liberal National Party of Queensland,13065,2230,False,4456
Murrumba,https://results.elections.qld.gov.au/state2020/murrumba,https://results.elections.qld.gov.au/state2020/murrumba/preference,"MILES, Steven",Australian Labor Party (State of Queensland),41071,34488,1269,35757,87.06,17245,"MILES, Steven",Australian Labor Party (State of Queensland),17433,"MILES, Steven",Australian Labor Party (State of Queensland),21153,"BARLOW, Yvonne",Liberal National Party of Queensland,13335,7818,False,3720
Nanango,https://results.elections.qld.gov.au/state2020/nanango,https://results.elections.qld.gov.au/state2020/nanango/preference,"FRECKLINGTON, Deb",Liberal National Party of Queensland,37170,32226,859,33085,89.01,16114,"FRECKLINGTON, Deb",Liberal National Party of Queensland,16085,"FRECKLINGTON, Deb",Liberal National Party of Queensland,20049,"STAPLETON, Mark",Australian Labor Party (State of Queensland),12177,7872,False,3964
Nicklin,https://results.elections.qld.gov.au/state2020/nicklin,https://results.elections.qld.gov.au/state2020/nicklin/preference,"SKELTON, Robert",Australian Labor Party (State of Queensland),35007,29648,1138,30786,87.94,14825,"HUNT, Marty",Liberal National Party of Queensland,11255,"SKELTON, Robert",Australian Labor Party (State of Queensland),14866,"HUNT, Marty",Liberal National Party of Queensland,14782,84,True,4652
Ninderry,https://results.elections.qld.gov.au/state2020/ninderry,https://results.elections.qld.gov.au/state2020/ninderry/preference,"PURDIE, Dan",Liberal National Party of Queensland,38836,33133,1274,34407,88.6,16567,"PURDIE, Dan",Liberal National Party of Queensland,14582,"PURDIE, Dan",Liberal National Party of Queensland,17927,"DODDS, Melinda",Australian Labor Party (State of Queensland),15206,2721,False,3345
Noosa,https://results.elections.qld.gov.au/state2020/noosa,https://results.elections.qld.gov.au/state2020/noosa/preference,"BOLTON, Sandy",Independent,36797,31990,837,32827,89.21,15996,"BOLTON, Sandy",Independent,14051,"BOLTON, Sandy",Independent,21065,"BLEVIN, James",Liberal National Party of Queensland,10925,10140,False,7014
Nudgee,https://results.elections.qld.gov.au/state2020/nudgee,https://results.elections.qld.gov.au/state2020/nudgee/preference,"LINARD, Leanne",Australian Labor Party (State of Queensland),37845,32714,839,33553,88.66,16358,"LINARD, Leanne",Australian Labor Party (State of Queensland),16836,"LINARD, Leanne",Australian Labor Party (State of Queensland),21292,"SHAW, Ryan",Liberal National Party of Queensland,11422,9870,False,4456
Oodgeroo,https://results.elections.qld.gov.au/state2020/oodgeroo,https://results.elections.qld.gov.au/state2020/oodgeroo/preference,"ROBINSON, Mark",Liberal National Party of Queensland,33034,29563,894,30457,92.2,14782,"ROBINSON, Mark",Liberal National Party of Queensland,12083,"ROBINSON, Mark",Liberal National Party of Queensland,16105,"HENLEY, Irene",Australian Labor Party (State of Queensland),13458,2647,False,4022
Pine Rivers,https://results.elections.qld.gov.au/state2020/pinerivers,https://results.elections.qld.gov.au/state2020/pinerivers/preference,"BOYD, Nikki",Australian Labor Party (State of Queensland),37943,33618,1115,34733,91.54,16810,"BOYD, Nikki",Australian Labor Party (State of Queensland),14953,"BOYD, Nikki",Australian Labor Party (State of Queensland),19063,"THOMAS, Kara",Liberal National Party of Queensland,14555,4508,False,4110
Pumicestone,https://results.elections.qld.gov.au/state2020/pumicestone,https://results.elections.qld.gov.au/state2020/pumicestone/preference,"KING, Ali",Australian Labor Party (State of Queensland),38286,33436,1057,34493,90.09,16719,"KING, Ali",Australian Labor Party (State of Queensland),15423,"KING, Ali",Australian Labor Party (State of Queensland),18480,"GASKE, Fiona",Liberal National Party of Queensland,14956,3524,False,3057
