district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes
Bassendean,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"KELLY, Dave",Australian Labor Party,32644,26719,1388,28107,86.1,13360,1,final,,,"MCLENNAN, Renée",Independent,9163
Bateman,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"GIDDENS, Kim",Australian Labor Party,31547,27589,962,28551,90.5,13795,0,first,,,"GIDDENS, Kim",Australian Labor Party,11093
Bateman,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"GIDDENS, Kim",Australian Labor Party,31547,27589,962,28551,90.5,13795,0,first,,,"VASHISHT, Nitin",Liberal Party,9455
Bateman,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"GIDDENS, Kim",Australian Labor Party,31547,27589,962,28551,90.5,13795,0,first,,,"DOOREY, Juanita",The Greens,2910
Bateman,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"GIDDENS, Kim",Australian Labor Party,31547,27589,962,28551,90.5,13795,0,first,,,"GORDIN, Donna",The Nationals,1689
Bateman,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"GIDDENS, Kim",Australian Labor Party,31547,27589,962,28551,90.5,13795,0,first,,,"ROBBIE, Kirsty",Australian Christians,1000
Bateman,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"GIDDENS, Kim",Australian Labor Party,31547,27589,962,28551,90.5,13795,0,first,,,"MABOOD, Michael",Pauline Hanson's One Nation,478
Bateman,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"GIDDENS, Kim",Australian Labor Party,31547,27589,962,28551,90.5,13795,0,first,,,"STOKES, Tony",Independent,431
Bateman,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"GIDDENS, Kim",Australian Labor Party,31547,27589,962,28551,90.5,13795,0,first,,,"SAPORITA, Colleen",Animal Justice Party,353
Bateman,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"GIDDENS, Kim",Australian Labor Party,31547,27589,962,28551,90.5,13795,0,first,,,"GHASSEMIFAR, Anahita",Libertarian,180
Bateman,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"GIDDENS, Kim",Australian Labor Party,31547,27589,962,28551,90.5,13795,1,final,,,"GIDDENS, Kim",Australian Labor Party,14700
Bateman,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"GIDDENS, Kim",Australian Labor Party,31547,27589,962,28551,90.5,13795,1,final,,,"VASHISHT, Nitin",Liberal Party,12881
Belmont,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"ROWE, Cassie",Australian Labor Party,31049,23910,1310,25220,81.23,11956,0,first,,,"ROWE, Cassie",Australian Labor Party,12807
Belmont,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"ROWE, Cassie",Australian Labor Party,31049,23910,1310,25220,81.23,11956,0,first,,,"ANTHONY, Biju",Liberal Party,5492
Belmont,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"ROWE, Cassie",Australian Labor Party,31049,23910,1310,25220,81.23,11956,0,first,,,"OLIVIERI, Helen",The Greens,3656
Belmont,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"ROWE, Cassie",Australian Labor Party,31049,23910,1310,25220,81.23,11956,0,first,,,"TOMULESCU, Liviu Filip",Pauline Hanson's One Nation,1237
Belmont,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"ROWE, Cassie",Australian Labor Party,31049,23910,1310,25220,81.23,11956,0,first,,,"YAP, Nathanael",Australian Christians,718
Belmont,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"ROWE, Cassie",Australian Labor Party,31049,23910,1310,25220,81.23,11956,1,final,,,"ROWE, Cassie",Australian Labor Party,16577
Belmont,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"ROWE, Cassie",Australian Labor Party,31049,23910,1310,25220,81.23,11956,1,final,,,"ANTHONY, Biju",Liberal Party,7326
Bibra Lake,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LAI, Sook Yee",Australian Labor Party,32053,25485,1512,26997,84.23,12743,0,first,,,"LAI, Sook Yee",Australian Labor Party,10664
Bibra Lake,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LAI, Sook Yee",Australian Labor Party,32053,25485,1512,26997,84.23,12743,0,first,,,"GARG, Atul",Liberal Party,4450
Bibra Lake,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LAI, Sook Yee",Australian Labor Party,32053,25485,1512,26997,84.23,12743,0,first,,,"WALSH, Robyn",The Greens,4282
Bibra Lake,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LAI, Sook Yee",Australian Labor Party,32053,25485,1512,26997,84.23,12743,0,first,,,"SEPAROVICH, Michael",Independent,2059
Bibra Lake,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LAI, Sook Yee",Australian Labor Party,32053,25485,1512,26997,84.23,12743,0,first,,,"GRIFFITHS, Lisa",Independent,1288
