district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Maylands,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"BULL, Dan",Australian Labor Party,31843,26524,1033,27557,86.54,13263,"BULL, Dan",Australian Labor Party,13471,"BULL, Dan",Australian Labor Party,19214,"TAN, Paula",Liberal Party,7305,11909,False,5743
Mid-West,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LOVE, Shane",The Nationals,24392,19717,864,20581,84.38,9859,"LOVE, Shane",The Nationals,8464,"LOVE, Shane",The Nationals,12551,"BEARD, Merome",Liberal Party,7140,5411,False,4087
Midland,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"CATANIA, Steve",Australian Labor Party,32809,26002,1350,27352,83.37,13002,"CATANIA, Steve",Australian Labor Party,10514,"CATANIA, Steve",Australian Labor Party,15818,"MATICH, Mike",Liberal Party,10155,5663,False,5304
Mindarie,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"FOLKARD, Mark",Australian Labor Party,32160,25640,1277,26917,83.7,12821,"FOLKARD, Mark",Australian Labor Party,11454,"FOLKARD, Mark",Australian Labor Party,15710,"MILES, Paul",Liberal Party,9910,5800,False,4256
Morley,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"SANDERSON, Amber-Jade",Australian Labor Party,30910,25475,1439,26914,87.07,12738,"SANDERSON, Amber-Jade",Australian Labor Party,12918,"SANDERSON, Amber-Jade",Australian Labor Party,15795,"CHAVITTUPARA, Aswath",Liberal Party,9671,6124,False,2877
Mount Lawley,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"PAOLINO, Frank",Australian Labor Party,31673,26964,1000,27964,88.29,13483,"PAOLINO, Frank",Australian Labor Party,11516,"PAOLINO, Frank",Australian Labor Party,16352,"SUTHERLAND, Michelle",Liberal Party,10607,5745,False,4836
Murray-Wellington,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"BOLT, David",Liberal Party,34016,28118,1407,29525,86.8,14060,"CLARKE, Robyn",Australian Labor Party,9777,"BOLT, David",Liberal Party,14520,"CLARKE, Robyn",Australian Labor Party,13581,939,True,5002
Nedlands,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"HUSTON, Jonathan",Liberal Party,32690,28173,752,28925,88.48,14087,"HUSTON, Jonathan",Liberal Party,12533,"HUSTON, Jonathan",Liberal Party,14845,"MONKHOUSE, Mary",Australian Labor Party,13314,1531,False,2312
Oakford,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"MUBARAKAI, Yaz",Australian Labor Party,33597,28091,1407,29498,87.8,14046,"MUBARAKAI, Yaz",Australian Labor Party,12794,"MUBARAKAI, Yaz",Australian Labor Party,17381,"MARSTON, Tait",Liberal Party,10696,6685,False,4587
Perth,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"CAREY, John",Australian Labor Party,31903,25747,774,26521,83.13,12874,"CAREY, John",Australian Labor Party,12592,"CAREY, John",Australian Labor Party,18267,"BUTLER, Sean",Liberal Party,7477,10790,False,5675
Pilbara,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"MICHEL, Kevin",Australian Labor Party,29731,18241,995,19236,64.7,9121,"MICHEL, Kevin",Australian Labor Party,6582,"MICHEL, Kevin",Australian Labor Party,9218,"KAILIS, Amanda",Liberal Party,9011,207,False,2636
Riverton,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"KRISHNAN, Jags",Australian Labor Party,31245,27794,891,28685,91.81,13898,"KRISHNAN, Jags",Australian Labor Party,12005,"KRISHNAN, Jags",Australian Labor Party,15064,"SPENCER-TEO, Amanda",Liberal Party,12714,2350,False,3059
Rockingham,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"MARSHALL, Magenta",Australian Labor Party,30484,24879,1181,26060,85.49,12440,"MARSHALL, Magenta",Australian Labor Party,11581,"MARSHALL, Magenta",Australian Labor Party,15370,"EDWARDS, Hayley",Liberal Party,9495,5875,False,3789
Roe,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"RUNDLE, Peter",The Nationals,28297,23450,895,24345,86.03,11726,"RUNDLE, Peter",The Nationals,12502,"RUNDLE, Peter",The Nationals,17598,"O'DEA, Marie",Liberal Party,5846,11752,False,5096
Scarborough,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"AUBREY, Stuart",Australian Labor Party,31730,26467,819,27286,85.99,13234,"AUBREY, Stuart",Australian Labor Party,11019,"AUBREY, Stuart",Australian Labor Party,14563,"KELLY, Damien",Liberal Party,11897,2666,False,3544
Secret Harbour,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"PAPALIA, Paul",Australian Labor Party,34284,27661,1323,28984,84.54,13831,"PAPALIA, Paul",Australian Labor Party,12876,"PAPALIA, Paul",Australian Labor Party,17011,"JONES, Mark",Liberal Party,10630,6381,False,4135
South Perth,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"BAKER, Geoff",Australian Labor Party,30403,25934,834,26768,88.04,12968,"WAUGH, Bronwyn",Liberal Party,10467,"BAKER, Geoff",Australian Labor Party,13375,"WAUGH, Bronwyn",Liberal Party,12551,824,True,3878
Southern River,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"HEALY, Terry",Australian Labor Party,32711,26828,1504,28332,86.61,13415,"HEALY, Terry",Australian Labor Party,15693,"HEALY, Terry",Australian Labor Party,19658,"CHOWDHARY, Sudhir",Liberal Party,7142,12516,False,3965
Swan Hills,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"MAYNARD, Michelle",Australian Labor Party,33397,27381,1421,28802,86.24,13691,"MAYNARD, Michelle",Australian Labor Party,11839,"MAYNARD, Michelle",Australian Labor Party,15979,"HENDERSON, Rod",Liberal Party,11375,4604,False,4140
Thornlie,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"EGAN, Colleen",Australian Labor Party,31959,24902,1544,26446,82.75,12452,"EGAN, Colleen",Australian Labor Party,11574,"EGAN, Colleen",Australian Labor Party,15916,"McDONALD, Kevin",Independent,8952,6964,False,4342
Vasse,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"METTAM, Libby",Liberal Party,33299,27894,1190,29084,87.34,13948,"METTAM, Libby",Liberal Party,14511,"METTAM, Libby",Liberal Party,17688,"LEWIS, Evan",Australian Labor Party,10196,7492,False,3177
Victoria Park,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"BEAZLEY, Hannah",Australian Labor Party,30734,24802,924,25726,83.71,12402,"BEAZLEY, Hannah",Australian Labor Party,11323,"BEAZLEY, Hannah",Australian Labor Party,16550,"BIONDI, Andra",Liberal Party,8249,8301,False,5227
Wanneroo,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"WINTON, Sabine",Australian Labor Party,33073,26684,1342,28026,84.74,13343,"WINTON, Sabine",Australian Labor Party,13585,"WINTON, Sabine",Australian Labor Party,16661,"KINGSHOTT, Joshua",Liberal Party,10013,6648,False,3076
Warren-Blackwood,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"EATTS, Bevan",The Nationals,31351,26442,1141,27583,87.98,13222,"KELSBIE, Jane",Australian Labor Party,7184,"EATTS, Bevan",The Nationals,13683,"KELSBIE, Jane",Australian Labor Party,12733,950,True,7926
West Swan,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"SAFFIOTI, Rita",Australian Labor Party,34451,27933,1495,29428,85.42,13967,"SAFFIOTI, Rita",Australian Labor Party,16011,"SAFFIOTI, Rita",Australian Labor Party,19864,"SAINI, Lucky",Liberal Party,8054,11810,False,3853
