district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status
Connecticut 1st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,John B. Larson,Democratic,0,349237,0,349237,0,174619,0,first,,,Mary Fay,Republican,122111,Connecticut,0901,official
Connecticut 1st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,John B. Larson,Democratic,0,349237,0,349237,0,174619,0,first,,,Thomas E. McCormick,Green,4458,Connecticut,0901,official
Connecticut 2nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Joe Courtney,Democratic,0,367347,0,367347,0,183674,0,first,,,Joe Courtney,Democratic,218119,Connecticut,0902,official
Connecticut 2nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Joe Courtney,Democratic,0,367347,0,367347,0,183674,0,first,,,Justin Anderson,Republican,140356,Connecticut,0902,official
Connecticut 2nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Joe Courtney,Democratic,0,367347,0,367347,0,183674,0,first,,,Cassandra Martineau,Green,4960,Connecticut,0902,official
Connecticut 2nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Joe Courtney,Democratic,0,367347,0,367347,0,183674,0,first,,,Daniel Reale,Libertarian,3903,Connecticut,0902,official
Connecticut 2nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Joe Courtney,Democratic,0,367347,0,367347,0,183674,0,first,,,John M. Traceski,Write-in,9,Connecticut,0902,official
Connecticut 3rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Rosa L. DeLauro,Democratic,0,346103,0,346103,0,173052,0,first,,,Rosa L. DeLauro,Democratic,203265,Connecticut,0903,official
Connecticut 3rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Rosa L. DeLauro,Democratic,0,346103,0,346103,0,173052,0,first,,,Margaret Streicker,Republican,137598,Connecticut,0903,official
Connecticut 3rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Rosa L. DeLauro,Democratic,0,346103,0,346103,0,173052,0,first,,,Justin C. Paglino,Green,5240,Connecticut,0903,official
Connecticut 4th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,James A. Himes,Democratic,0,360716,0,360716,0,180359,0,first,,,James A. Himes,Democratic,224432,Connecticut,0904,official
Connecticut 4th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,James A. Himes,Democratic,0,360716,0,360716,0,180359,0,first,,,Jonathan Riddle,Republican,130627,Connecticut,0904,official
Connecticut 4th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,James A. Himes,Democratic,0,360716,0,360716,0,180359,0,first,,,Brian Merlen,Independent,5647,Connecticut,0904,official
Connecticut 4th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,James A. Himes,Democratic,0,360716,0,360716,0,180359,0,first,,,Yusheng Peng,Write-in,10,Connecticut,0904,official
Connecticut 5th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Jahana Hayes,Democratic,0,349524,0,349524,0,174763,0,first,,,Jahana Hayes,Democratic,192484,Connecticut,0905,official
Connecticut 5th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Jahana Hayes,Democratic,0,349524,0,349524,0,174763,0,first,,,David X. Sullivan,Republican,151988,Connecticut,0905,official
Connecticut 5th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Jahana Hayes,Democratic,0,349524,0,349524,0,174763,0,first,,,Bruce W. Walczak,Independent,5052,Connecticut,0905,official
Delaware at-large,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Lisa Blunt Rochester,Democratic,0,488270,0,488270,0,244136,0,first,,,Lisa Blunt Rochester,Democratic,281382,Delaware,1000,official
Delaware at-large,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Lisa Blunt Rochester,Democratic,0,488270,0,488270,0,244136,0,first,,,Lee Murphy,Republican,196392,Delaware,1000,official
Delaware at-large,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Lisa Blunt Rochester,Democratic,0,488270,0,488270,0,244136,0,first,,,Catherine S. Purcell,Independent Party of Delaware,6682,Delaware,1000,official
Delaware at-large,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Lisa Blunt Rochester,Democratic,0,488270,0,488270,0,244136,0,first,,,David L. Rogers,Libertarian,3814,Delaware,1000,official
Florida 10th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Val Butler Demings,Democratic,0,376397,0,376397,0,188199,0,first,,,Val Butler Demings,Democratic,239434,Florida,1210,official
Florida 10th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Val Butler Demings,Democratic,0,376397,0,376397,0,188199,0,first,,,Vennia Francois,Republican,136889,Florida,1210,official
Florida 10th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Val Butler Demings,Democratic,0,376397,0,376397,0,188199,0,first,,,Sufiyah Yasmine,Write-in,74,Florida,1210,official
Florida 11th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Daniel Webster,Republican,0,475073,0,475073,0,237537,0,first,,,Daniel Webster,Republican,316979,Florida,1211,official
Florida 11th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Daniel Webster,Republican,0,475073,0,475073,0,237537,0,first,,,Dana Marie Cottrell,Democratic,158094,Florida,1211,official
Florida 12th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Gus M. Bilirakis,Republican,0,453135,0,453135,0,226568,0,first,,,Gus M. Bilirakis,Republican,284941,Florida,1212,official
Florida 12th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Gus M. Bilirakis,Republican,0,453135,0,453135,0,226568,0,first,,,Kimberly Walker,Democratic,168194,Florida,1212,official
Florida 13th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Charlie Crist,Democratic,0,406125,0,406125,0,203063,0,first,,,Charlie Crist,Democratic,215405,Florida,1213,official
Florida 13th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Charlie Crist,Democratic,0,406125,0,406125,0,203063,0,first,,,Anna Paulina Luna,Republican,190713,Florida,1213,official
Florida 13th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Charlie Crist,Democratic,0,406125,0,406125,0,203063,0,first,,,Jacob Curnow,Write-in,7,Florida,1213,official
Florida 14th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Kathy Castor,Democratic,0,372136,0,372136,0,186069,0,first,,,Kathy Castor,Democratic,224240,Florida,1214,official
Florida 14th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Kathy Castor,Democratic,0,372136,0,372136,0,186069,0,first,,,Christine Y. Quinn,Republican,147896,Florida,1214,official
Florida 15th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Scott Franklin,Republican,0,390671,0,390671,0,195336,0,first,,,Scott Franklin,Republican,216374,Florida,1215,official
Florida 15th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Scott Franklin,Republican,0,390671,0,390671,0,195336,0,first,,,Alan Cohn,Democratic,174297,Florida,1215,official
Florida 16th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Vern Buchanan,Republican,0,484684,0,484684,0,242343,0,first,,,Vern Buchanan,Republican,269001,Florida,1216,official
Florida 16th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Vern Buchanan,Republican,0,484684,0,484684,0,242343,0,first,,,Margaret Good,Democratic,215683,Florida,1216,official
Florida 17th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,W. Gregory Steube,Republican,0,412397,0,412397,0,206199,0,first,,,W. Gregory Steube,Republican,266514,Florida,1217,official
Florida 17th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,W. Gregory Steube,Republican,0,412397,0,412397,0,206199,0,first,,,Allen Ellison,Democratic,140487,Florida,1217,official
Florida 17th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,W. Gregory Steube,Republican,0,412397,0,412397,0,206199,0,first,,,Theodore “Pink Tie” Murray,No Party Affiliation,5396,Florida,1217,official
Florida 18th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Brian J. Mast,Republican,0,449720,0,449720,0,224861,0,first,,,Brian J. Mast,Republican,253286,Florida,1218,official
Florida 18th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Brian J. Mast,Republican,0,449720,0,449720,0,224861,0,first,,,Pam Keith,Democratic,186674,Florida,1218,official
Florida 18th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Brian J. Mast,Republican,0,449720,0,449720,0,224861,0,first,,,K. W. Miller,No Party Affiliation,9760,Florida,1218,official
Florida 19th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Byron Donalds,Republican,0,444589,0,444589,0,222295,0,first,,,Byron Donalds,Republican,272440,Florida,1219,official
Florida 19th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Byron Donalds,Republican,0,444589,0,444589,0,222295,0,first,,,Cindy Lyn Banyai,Democratic,172146,Florida,1219,official
Florida 19th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Byron Donalds,Republican,0,444589,0,444589,0,222295,0,first,,,Patrick Post,Write-in,3,Florida,1219,official
Florida 1st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Matt Gaetz,Republican,0,438562,0,438562,0,219282,0,first,,,Matt Gaetz,Republican,283352,Florida,1201,official
Florida 1st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Matt Gaetz,Republican,0,438562,0,438562,0,219282,0,first,,,Phil Ehr,Democratic,149172,Florida,1201,official
Florida 1st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Matt Gaetz,Republican,0,438562,0,438562,0,219282,0,first,,,Albert Oram,No Party Affiliation,6038,Florida,1201,official
Florida 20th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Alcee L. Hastings,Democratic,0,322409,0,322409,0,161205,0,first,,,Alcee L. Hastings,Democratic,253661,Florida,1220,official
Florida 20th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Alcee L. Hastings,Democratic,0,322409,0,322409,0,161205,0,first,,,Greg Musselwhite,Republican,68748,Florida,1220,official
Florida 21st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Lois Frankel,Democratic,0,403093,0,403093,0,201547,0,first,,,Lois Frankel,Democratic,237925,Florida,1221,official
Florida 21st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Lois Frankel,Democratic,0,403093,0,403093,0,201547,0,first,,,Laura Loomer,Republican,157612,Florida,1221,official
Florida 21st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Lois Frankel,Democratic,0,403093,0,403093,0,201547,0,first,,,Charleston Malkemus,No Party Affiliation,7544,Florida,1221,official
Florida 21st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Lois Frankel,Democratic,0,403093,0,403093,0,201547,0,first,,,Sylvia Caravetta,Write-in,8,Florida,1221,official
Florida 21st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Lois Frankel,Democratic,0,403093,0,403093,0,201547,0,first,,,Piotr Blass,Write-in,4,Florida,1221,official
Florida 22nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Theodore E. Deutch,Democratic,0,402317,0,402317,0,201159,0,first,,,Theodore E. Deutch,Democratic,235764,Florida,1222,official
Florida 22nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Theodore E. Deutch,Democratic,0,402317,0,402317,0,201159,0,first,,,James “Jim” Pruden,Republican,166553,Florida,1222,official
Florida 23rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Debbie Wasserman Schultz,Democratic,0,380196,0,380196,0,190099,0,first,,,Debbie Wasserman Schultz,Democratic,221239,Florida,1223,official
Florida 23rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Debbie Wasserman Schultz,Democratic,0,380196,0,380196,0,190099,0,first,,,Carla Spalding,Republican,158874,Florida,1223,official
Florida 23rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Debbie Wasserman Schultz,Democratic,0,380196,0,380196,0,190099,0,first,,,Jeff Olson,Write-in,46,Florida,1223,official
Florida 23rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Debbie Wasserman Schultz,Democratic,0,380196,0,380196,0,190099,0,first,,,Demetrius “DB” Fugate,Write-in,37,Florida,1223,official
Florida 24th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Frederica S. Wilson,Democratic,0,289638,0,289638,0,144820,0,first,,,Frederica S. Wilson,Democratic,218825,Florida,1224,official
Florida 24th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Frederica S. Wilson,Democratic,0,289638,0,289638,0,144820,0,first,,,Lavern Spicer,Republican,59084,Florida,1224,official
Florida 24th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Frederica S. Wilson,Democratic,0,289638,0,289638,0,144820,0,first,,,Christine Alexandria Olivo,No Party Affiliation,11703,Florida,1224,official
Florida 24th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Frederica S. Wilson,Democratic,0,289638,0,289638,0,144820,0,first,,,Howard Knepper,Write-in,17,Florida,1224,official
Florida 24th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Frederica S. Wilson,Democratic,0,289638,0,289638,0,144820,0,first,,,Hector Rivera,Write-in,9,Florida,1224,official
Florida 25th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Mario Diaz-Balart,Republican,0,0,0,0,0,0,0,first,,,Mario Diaz-Balart,Republican,0,Florida,1225,uncontested
Florida 26th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Carlos Gimenez,Republican,0,342630,0,342630,0,171316,0,first,,,Carlos Gimenez,Republican,177223,Florida,1226,official
Florida 26th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Carlos Gimenez,Republican,0,342630,0,342630,0,171316,0,first,,,Debbie Mucarsel-Powell,Democratic,165407,Florida,1226,official
Florida 27th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Maria Elvira Salazar,Republican,0,342975,0,342975,0,171488,0,first,,,Maria Elvira Salazar,Republican,176141,Florida,1227,official
Florida 27th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Maria Elvira Salazar,Republican,0,342975,0,342975,0,171488,0,first,,,Donna E. Shalala,Democratic,166758,Florida,1227,official
Florida 27th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Maria Elvira Salazar,Republican,0,342975,0,342975,0,171488,0,first,,,Frank E. Polo,Write-in,76,Florida,1227,official
Florida 2nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Neal P. Dunn,Republican,0,311999,0,311999,0,156000,0,first,,,Neal P. Dunn,Republican,305337,Florida,1202,official
Florida 2nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Neal P. Dunn,Republican,0,311999,0,311999,0,156000,0,first,,,Kim O’Connor,Write-in,6662,Florida,1202,official
Florida 3rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Kat Cammack,Republican,0,390401,0,390401,0,195201,0,first,,,Kat Cammack,Republican,223075,Florida,1203,official
Florida 3rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Kat Cammack,Republican,0,390401,0,390401,0,195201,0,first,,,Adam Christensen,Democratic,167326,Florida,1203,official
Florida 4th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,John H. Rutherford,Republican,0,504940,0,504940,0,252471,0,first,,,John H. Rutherford,Republican,308497,Florida,1204,official
Florida 4th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,John H. Rutherford,Republican,0,504940,0,504940,0,252471,0,first,,,Donna Deegan,Democratic,196423,Florida,1204,official
Florida 4th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,John H. Rutherford,Republican,0,504940,0,504940,0,252471,0,first,,,Gary L. Koniz,Write-in,20,Florida,1204,official
Florida 5th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,"Al Lawson, Jr.",Democratic,0,336973,0,336973,0,168487,0,first,,,"Al Lawson, Jr.",Democratic,219463,Florida,1205,official
Florida 5th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,"Al Lawson, Jr.",Democratic,0,336973,0,336973,0,168487,0,first,,,Gary Adler,Republican,117510,Florida,1205,official
Florida 6th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Michael Waltz,Republican,0,437856,0,437856,0,218929,0,first,,,Michael Waltz,Republican,265393,Florida,1206,official
Florida 6th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Michael Waltz,Republican,0,437856,0,437856,0,218929,0,first,,,Clint Curtis,Democratic,172305,Florida,1206,official
Florida 6th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Michael Waltz,Republican,0,437856,0,437856,0,218929,0,first,,,John G. “Gerry” Nolan,Write-in,112,Florida,1206,official
Florida 6th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Michael Waltz,Republican,0,437856,0,437856,0,218929,0,first,,,Alan Grayson,Write-in,46,Florida,1206,official
Florida 7th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Stephanie N. Murphy,Democratic,0,406449,0,406449,0,203225,0,first,,,Stephanie N. Murphy,Democratic,224946,Florida,1207,official
Florida 7th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Stephanie N. Murphy,Democratic,0,406449,0,406449,0,203225,0,first,,,Leo Valentin,Republican,175750,Florida,1207,official
Florida 7th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Stephanie N. Murphy,Democratic,0,406449,0,406449,0,203225,0,first,,,William R. Garlington,No Party Affiliation,5753,Florida,1207,official
Florida 8th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Bill Posey,Republican,0,459788,0,459788,0,229895,0,first,,,Bill Posey,Republican,282093,Florida,1208,official
Florida 8th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Bill Posey,Republican,0,459788,0,459788,0,229895,0,first,,,Jim Kennedy,Democratic,177695,Florida,1208,official
Florida 9th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Darren Soto,Democratic,0,429638,0,429638,0,214820,0,first,,,Darren Soto,Democratic,240724,Florida,1209,official
Florida 9th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Darren Soto,Democratic,0,429638,0,429638,0,214820,0,first,,,William P. “Bill” Olson,Republican,188889,Florida,1209,official
Florida 9th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Darren Soto,Democratic,0,429638,0,429638,0,214820,0,first,,,Clay Hill,Write-in,25,Florida,1209,official
Georgia 10th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Jody B. Hice,Republican,0,378446,0,378446,0,189224,0,first,,,Jody B. Hice,Republican,235810,Georgia,1310,official
Georgia 10th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Jody B. Hice,Republican,0,378446,0,378446,0,189224,0,first,,,Tabitha Johnson-Green,Democratic,142636,Georgia,1310,official
Georgia 11th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Barry Loudermilk,Republican,0,405882,0,405882,0,202942,0,first,,,Barry Loudermilk,Republican,245259,Georgia,1311,official
Georgia 11th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Barry Loudermilk,Republican,0,405882,0,405882,0,202942,0,first,,,Dana Barrett,Democratic,160623,Georgia,1311,official
Georgia 12th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Rick W. Allen,Republican,0,310099,0,310099,0,155050,0,first,,,Rick W. Allen,Republican,181038,Georgia,1312,official
Georgia 12th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Rick W. Allen,Republican,0,310099,0,310099,0,155050,0,first,,,Liz Johnson,Democratic,129061,Georgia,1312,official
Georgia 13th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,David Scott,Democratic,0,360582,0,360582,0,180292,0,first,,,David Scott,Democratic,279045,Georgia,1313,official
Georgia 13th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,David Scott,Democratic,0,360582,0,360582,0,180292,0,first,,,Becky E. Hites,Republican,81476,Georgia,1313,official
Georgia 13th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,David Scott,Democratic,0,360582,0,360582,0,180292,0,first,,,Martin Cowen,Write-in,61,Georgia,1313,official
Georgia 14th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Marjorie Taylor Greene,Republican,0,307625,0,307625,0,153813,0,first,,,Marjorie Taylor Greene,Republican,229827,Georgia,1314,official
Georgia 14th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Marjorie Taylor Greene,Republican,0,307625,0,307625,0,153813,0,first,,,Kevin Van Ausdal,Democratic,77798,Georgia,1314,official
Georgia 1st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Earl L. “Buddy” Carter,Republican,0,324695,0,324695,0,162348,0,first,,,Earl L. “Buddy” Carter,Republican,189457,Georgia,1301,official
Georgia 1st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Earl L. “Buddy” Carter,Republican,0,324695,0,324695,0,162348,0,first,,,Joyce Marie Griggs,Democratic,135238,Georgia,1301,official
Georgia 2nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,"Sanford D. Bishop, Jr.",Democratic,0,273034,0,273034,0,136518,0,first,,,"Sanford D. Bishop, Jr.",Democratic,161397,Georgia,1302,official
Georgia 2nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,"Sanford D. Bishop, Jr.",Democratic,0,273034,0,273034,0,136518,0,first,,,Don Cole,Republican,111620,Georgia,1302,official
Georgia 2nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,"Sanford D. Bishop, Jr.",Democratic,0,273034,0,273034,0,136518,0,first,,,Jamelle Hill,Write-in,17,Georgia,1302,official
Georgia 3rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,A. Drew Ferguson IV,Republican,0,371318,0,371318,0,185660,0,first,,,A. Drew Ferguson IV,Republican,241526,Georgia,1303,official
Georgia 3rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,A. Drew Ferguson IV,Republican,0,371318,0,371318,0,185660,0,first,,,Val Almonord,Democratic,129792,Georgia,1303,official
Georgia 4th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,"Henry C. “Hank” Johnson, Jr.",Democratic,0,348299,0,348299,0,174150,0,first,,,"Henry C. “Hank” Johnson, Jr.",Democratic,278906,Georgia,1304,official
Georgia 4th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,"Henry C. “Hank” Johnson, Jr.",Democratic,0,348299,0,348299,0,174150,0,first,,,Johsie Cruz Ezammudeen,Republican,69393,Georgia,1304,official
Georgia 5th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Nikema Williams,Democratic,0,354503,0,354503,0,177252,0,first,,,Nikema Williams,Democratic,301857,Georgia,1305,official
Georgia 5th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Nikema Williams,Democratic,0,354503,0,354503,0,177252,0,first,,,Angela Stanton-King,Republican,52646,Georgia,1305,official
Georgia 6th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Lucy McBath,Democratic,0,397104,0,397104,0,198553,0,first,,,Lucy McBath,Democratic,216775,Georgia,1306,official
